dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
e55e7e17-2340-40d6-9de7-5e2efe13cb96,1740,Brinson Performance Attribution (Beta),112520,42676.07613,0.143767,95.847333,392.459864,1137.323386,12.170347,115.60872,217.519689,436.292587,2322447,807431,51173,NA,NA,NA,NA,NA,77,77,77,77,77,,1,127,,,,
edd268f2-d677-4667-a4bd-8bcf088f0b1a,744,Asset Performance Contribution,547246,153425.8966,0.087985,2957.672032,171.055321,651.542976,48.241751,1077.298912,214.762677,639.509183,6523936,1169350,40424,NA,NA,NA,NA,NA,128,128,128,128,128,22,22,39,74,,,
ff47cdb2-ceb4-4dad-8bce-545ff3623cc7,777,Factor Performance Attribution,268038,187436.4747,0.070271,1091.406929,298.04763,511.258379,110.87988,603.30856,214.580124,1879.423925,4064216,2108328,1092793,NA,NA,NA,NA,GEMLTL,134,134,134,134,134,,,,,,,
e43b62c6-097e-4e93-bb2f-599e6d92b049,1651,Factor Performance Attribution,159042,8852.134595,0.088281,536.910473,154.552419,2171.186051,14.778859,145.634043,212.369714,331.871234,2281703,721294,1022856,1090258,NA,NA,NA,GEMLTL,,,,,,,,,,,,
814593b7-a196-45d6-84ba-420cffbf1e31,1480,ESG Performance Profile,279151,64189.14179,0.011862,221.025819,960.87532,2124.778125,50.421364,581.365597,209.835727,731.907722,4846150,1894553,161915299,NA,NA,NA,NA,NA,610,610,610,610,610,147,147,161,187,,,
fba18a56-8631-434f-8537-8bdea438e70d,267,Asset Performance Contribution,616244,359463.2949,0.09395,447.031778,0,108.419526,50.838562,923.645733,207.540428,2038.161656,6676300,2010197,40424,51148,NA,NA,NA,NA,84,84,84,84,84,,1,1,9,,,75
11238986-b58e-4618-b5a8-63c5c7baa0bd,506,ESG Controversies,264007,163764.4066,0.30471,302.943745,0.051411,274.042468,58.021051,1970.091207,203.744544,1255.491058,4116359,1082075,1092793,22505,NA,NA,NA,NA,105,105,105,105,105,1,1,1,16,,,
9e10a0ec-1fcb-4265-a90d-12d0cb58fcca,447,Factor Performance Attribution,540234,74941.2941,700.467815,1616.960486,51.359072,186.942677,110.817957,1148.341598,203.103845,1391.46106,5996252,2051811,22489,NA,NA,NA,NA,GEMLTL,370,370,370,370,370,,,,,,,129
2a4c83c0-1781-4fc8-9aed-234d5166c76e,1395,Factor Risk and Return,1115135,743686.9526,0.002594,2063.093985,136.418108,103.81972,20.327936,351.965022,202.968753,301.17594,4855730,1655229,1094608,NA,NA,NA,NA,GEMLTL,267,267,267,267,267,,44,,165,,204,
e6bd5270-0f00-4295-acd5-dd9346e9ebcf,958,ESG Performance Profile,247071,141654.5936,15.729448,215.656606,281.95495,1459.851403,19.310117,165.534516,202.813657,1133.483397,4211596,2139421,100000027,NA,NA,NA,NA,NA,441,441,441,440,440,,97,47,225,225,,
304c6137-0cb9-422b-ad19-d9a377a45f68,1504,Factor Performance Attribution,231903,12090.61769,0.120761,1129.795158,221.995176,1422.1376,9.551994,242.976023,202.412917,335.204182,2948000,762415,1022856,1090258,NA,NA,NA,GEMLTL,,,,,,,,,,,,
8190be3c-374e-4496-bbbc-da11a0403bd1,1420,ESG Performance Profile,247071,27385.64256,0.129802,209.107312,0.429857,758.487603,8.444957,104.436554,202.349058,513.918024,4011701,1396895,100000027,NA,NA,NA,NA,NA,356,356,356,356,356,,123,28,143,141,,
ab409f2a-8cf5-4314-a17d-17e6f26f3051,859,Factor Performance Attribution,215981,32528.74546,0.061304,615.761558,88.185175,792.027429,38.926716,324.130327,202.197548,788.487432,2662213,1203797,1092793,NA,NA,NA,NA,GEMLTL,91,91,91,91,91,,,,,,,
e9c9909f-7357-40a3-90af-a2cfde1e2a0f,1633,Factor Performance Overview - UC - GCs,285509,17999.1007,0.121529,789.048952,437.654983,2500.540824,20.12767,228.862864,199.534384,412.116313,3929773,959088,1020573,1090258,25504,NA,NA,GEMLTL,,,,,,,,,,,,
88f6f483-e167-402b-9de6-ef34e3195c4f,1103,Factor Risk and Return,1079469,4650820.129,0.001387,3485.070564,224.116683,187.637077,107.894658,1153.537079,195.342161,422.189076,5169182,1615891,1094608,NA,NA,NA,NA,GEMLTL,227,227,227,227,227,,8,53,128,,198,
4d33962d-1435-45a6-990c-cff6a53ba404,282,Single Portfolio Summary,540234,55654.15074,2.531911,419.918412,41.413958,185.071924,129.83834,794.064502,194.47569,1469.518463,5799945,1948403,22489,NA,NA,NA,NA,NA,255,255,255,255,255,,95,135,1,,,254
be4464fe-636e-40cd-bc78-37897d9bf1f6,646,Factor Performance Comparison,277865,21774.3745,317.882334,593.696151,335.638541,530.666066,26.301355,337.767014,193.192648,852.210771,1907996,921834,1073617,1077422,1080032,1086870,1086893,EMM1L,383,384,384,384,384,,171,452,139,,,189
6032c0f5-c057-4497-9e24-37b00ab19ee0,4784,Portfolio ESG Performance,491894,9579.347114,0.096043,125.851693,0,4276.300985,23.19958,180.802599,192.84676,340.938954,1886933,719448,1016841,1025750,1101795,NA,NA,NA,35,35,35,35,35,,72,72,2,,,33
9f1ac4ea-5561-442e-8213-49e7d269932c,5095,ESG Performance Profile,153368,8262.558874,0.106867,525.384115,0,7211.004823,11.777693,90.223018,192.765232,503.093316,2310431,1155060,17392,193557625,NA,NA,NA,NA,20,21,42,42,21,,9,10,20,,,
6399ceae-aeb6-4a81-8254-15fa5ea20753,303,Factor Performance Attribution,540234,57065.29031,53.804638,1512.455972,18.175774,146.741887,71.855514,604.012577,192.703389,1162.377558,5732732,2084553,22489,NA,NA,NA,NA,GEMLTL,290,290,290,290,290,,,,,,,129
3b003095-aada-494b-a2e6-f7471f05b756,5633,FI Overview,395271,460811.5245,0,0,94.496891,1280.677045,336.351442,18386.09918,192.161728,791.025319,65917916,3114922,1006782,1007943,1009312,1009318,1010360,NA,,,,,,,,1,,,,
